Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 5 30, 2024 -- 13: 47: 44: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	mm	N	deg	deg	deg	N	mm	N	deg	deg	deg
-0.8825	-3.8023	-5.5291	 0.3038	-0.1093	-0.1754	 0.8470	 0.0304	-4.0405	-0.0056	-0.0158	 0.0016	 0.8739	 0.0000	 1.4168	 0.0000	 0.0000	 0.0000	-0.1475	-0.0304	 2.5328	 0.0056	 0.0158	-0.0016
-0.2786	-3.2086	-6.6205	 0.3445	-0.1232	-0.1793	 0.8402	 0.0347	-4.0391	 0.0193	-0.0133	-0.0033	 0.9337	 0.0000	 1.5148	 0.0000	 0.0000	 0.0000	-0.6823	-0.0347	 3.7077	-0.0193	 0.0133	 0.0033
-0.6118	-3.8783	-4.7677	 0.4183	-0.1529	-0.1869	 0.8440	 0.0416	-4.0369	-0.0341	-0.0156	-0.0028	 0.9953	 0.0000	 1.6158	 0.0000	 0.0000	 0.0000	-0.3075	-0.0416	 1.9166	 0.0341	 0.0156	 0.0028
-1.3635	-2.8805	-3.6312	 0.2501	-0.3147	-0.1804	 0.8472	 0.0455	-4.0346	-0.0141	-0.0205	-0.0083	 1.0599	 0.0000	 1.7216	 0.0000	 0.0000	 0.0000	 0.4953	-0.0455	 0.8642	 0.0141	 0.0205	 0.0083
-0.8039	-3.9878	-3.4622	 0.4068	-0.1999	-0.1570	 0.8405	 0.0378	-4.0326	-0.0094	-0.0127	-0.0138	 1.1273	 0.0000	 1.8322	 0.0000	 0.0000	 0.0000	 0.0298	-0.0378	 0.8303	 0.0094	 0.0127	 0.0138
-0.9042	-3.2655	-4.3967	 0.2642	-0.1856	-0.1501	 0.8482	 0.0435	-4.0382	-0.0097	-0.0113	-0.0102	 1.1968	 0.0000	 1.9462	 0.0000	 0.0000	 0.0000	 0.1736	-0.0435	 1.8737	 0.0097	 0.0113	 0.0102
-1.9176	-3.8848	-4.6614	 0.3836	-0.3834	-0.1331	 0.8436	 0.0390	-4.0408	-0.0362	-0.0190	-0.0253	 1.2703	 0.0000	 2.0667	 0.0000	 0.0000	 0.0000	 1.2831	-0.0390	 2.2806	 0.0362	 0.0190	 0.0253
-1.0000	-3.3841	-2.7101	 0.3307	-0.2501	-0.1358	 0.8445	 0.0533	-4.0347	-0.0183	-0.0160	-0.0119	 1.3193	 0.0000	 2.1475	 0.0000	 0.0000	 0.0000	 0.3857	-0.0533	 0.3423	 0.0183	 0.0160	 0.0119
 0.9270	-3.4904	-4.4310	 0.2910	 0.0445	-0.1775	 0.8505	 0.0472	-4.0397	-0.0157	-0.0195	-0.0073	 1.3699	 0.0000	 2.2308	 0.0000	 0.0000	 0.0000	-1.4941	-0.0472	 2.1823	 0.0157	 0.0195	 0.0073
-0.9879	-4.0287	-2.5326	 0.4194	-0.2140	-0.1621	 0.8492	 0.0509	-4.0362	-0.0359	-0.0115	-0.0111	 1.4213	 0.0000	 2.3155	 0.0000	 0.0000	 0.0000	 0.4673	-0.0509	 0.3427	 0.0359	 0.0115	 0.0111
