Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 5 31, 2024 -- 13: 4: 51: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	mm	N	deg	deg	deg	N	mm	N	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
-1.7517	 0.0357	-1.7589	 0.0356	-0.2448	-0.0006	-0.1121	 0.0225	-2.8605	-0.0245	-0.0697	-0.0020	 0.2882	 0.0000	 0.4607	 0.0000	 0.0000	 0.0000	 2.3812	-0.0225	-6.8437	 0.0245	 0.0697	 0.0020	-0.3413	20.2477	 9.0632	-0.0650	-0.0198	-0.0418	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4693	37.1355	5347.4004	 0.0120	 0.0000	-2.0930	20.2835	 7.3043	-0.0295	-0.2646	-0.0424
-1.6076	-0.4656	-1.8776	 0.0243	-0.2886	-0.0156	-0.1033	 0.0281	-2.8579	 0.0095	-0.0713	-0.0005	 0.3168	 0.0000	 0.5071	 0.0000	 0.0000	 0.0000	 2.2413	-0.0281	-6.7130	-0.0095	 0.0713	 0.0005	-0.3169	20.3365	 9.0977	-0.0653	-0.0197	-0.0419	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4706	37.1354	5347.3450	 0.0124	 0.0000	-1.9245	19.8709	 7.2201	-0.0410	-0.3083	-0.0574
-1.6877	-0.5194	 0.2892	 0.1089	-0.2301	-0.0195	-0.0995	 0.0327	-2.8659	 0.0133	-0.0763	 0.0151	 0.3469	 0.0000	 0.5560	 0.0000	 0.0000	 0.0000	 2.3388	-0.0327	-8.8097	-0.0133	 0.0763	-0.0151	-0.3043	20.3532	 9.0766	-0.0655	-0.0196	-0.0419	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4698	37.1351	5347.2658	 0.0128	 0.0000	-1.9920	19.8338	 9.3657	 0.0433	-0.2497	-0.0614
-1.6090	-0.0324	-1.7258	-0.0284	-0.1821	-0.0480	-0.1049	 0.0390	-2.8774	 0.0164	-0.0737	 0.0081	 0.3794	 0.0000	 0.6090	 0.0000	 0.0000	 0.0000	 2.3092	-0.0390	-6.7150	-0.0164	 0.0737	-0.0081	-0.3208	20.3893	 9.0498	-0.0658	-0.0197	-0.0420	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4699	37.1345	5347.4436	 0.0132	 0.0000	-1.9298	20.3569	 7.3240	-0.0942	-0.2017	-0.0900
-1.2643	-0.3274	-1.6994	 0.0783	-0.2748	-0.0077	-0.0968	 0.0358	-2.8935	-0.0084	-0.0736	 0.0079	 0.4133	 0.0000	 0.6642	 0.0000	 0.0000	 0.0000	 1.9732	-0.0358	-6.5924	 0.0084	 0.0736	-0.0079	-0.2956	20.2637	 8.9560	-0.0656	-0.0193	-0.0417	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4694	37.1352	5347.4334	 0.0136	 0.0000	-1.5599	19.9364	 7.2566	 0.0128	-0.2941	-0.0494
-1.5537	-1.0605	-0.6909	 0.1899	-0.2534	-0.0096	-0.0981	 0.0347	-2.8823	 0.0374	-0.0714	 0.0044	 0.4497	 0.0000	 0.7235	 0.0000	 0.0000	 0.0000	 2.3035	-0.0347	-7.5848	-0.0374	 0.0714	-0.0044	-0.3001	20.3036	 8.9992	-0.0656	-0.0194	-0.0418	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4687	37.1360	5347.4871	 0.0140	 0.0000	-1.8538	19.2431	 8.3083	 0.1243	-0.2728	-0.0514
-2.4492	-0.7984	-0.6070	 0.0930	-0.3305	-0.0247	-0.1003	 0.0365	-2.8913	 0.0112	-0.0701	 0.0067	 0.4879	 0.0000	 0.7858	 0.0000	 0.0000	 0.0000	 3.2424	-0.0365	-7.5743	-0.0112	 0.0701	-0.0067	-0.3053	20.2843	 8.9671	-0.0656	-0.0194	-0.0418	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4688	37.1351	5347.5168	 0.0144	 0.0000	-2.7545	19.4859	 8.3601	 0.0274	-0.3499	-0.0665
-1.3294	-0.0142	-0.8467	-0.0110	-0.2224	-0.0160	-0.0975	 0.0411	-2.9096	 0.0364	-0.0730	 0.0021	 0.5280	 0.0000	 0.8513	 0.0000	 0.0000	 0.0000	 2.1559	-0.0411	-7.1954	-0.0364	 0.0730	-0.0021	-0.2985	20.2602	 8.8934	-0.0658	-0.0192	-0.0417	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4696	37.1361	5347.5563	 0.0148	 0.0000	-1.6279	20.2461	 8.0468	-0.0768	-0.2417	-0.0577
-1.3558	-0.1155	-1.8255	-0.0083	-0.1880	-0.0097	-0.0966	 0.0424	-2.9063	 0.0429	-0.0832	 0.0140	 0.5708	 0.0000	 0.9212	 0.0000	 0.0000	 0.0000	 2.2230	-0.0424	-6.1688	-0.0429	 0.0832	-0.0140	-0.2964	20.2913	 8.9155	-0.0659	-0.0193	-0.0417	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4691	37.1365	5347.4689	 0.0152	 0.0000	-1.6522	20.1758	 7.0900	-0.0741	-0.2072	-0.0515
-1.6549	-0.4833	-2.8099	 0.0414	-0.2281	-0.0301	-0.0896	 0.0434	-2.9187	 0.0147	-0.0722	 0.0021	 0.6151	 0.0000	 0.9935	 0.0000	 0.0000	 0.0000	 2.5453	-0.0434	-5.0593	-0.0147	 0.0722	-0.0021	-0.2754	20.2477	 8.8627	-0.0658	-0.0190	-0.0416	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4688	37.1377	5347.5272	 0.0156	 0.0000	-1.9302	19.7644	 6.0528	-0.0245	-0.2471	-0.0717
-1.3800	-0.2396	-2.7938	-0.0284	-0.2276	 0.0108	-0.0942	 0.0503	-2.9218	 0.0407	-0.0709	 0.0026	 0.6625	 0.0000	 1.0710	 0.0000	 0.0000	 0.0000	 2.3315	-0.0503	-5.0116	-0.0407	 0.0709	-0.0026	-0.2890	20.3296	 8.8764	-0.0662	-0.0191	-0.0418	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4685	37.1361	5347.6114	 0.0160	 0.0000	-1.6690	20.0901	 6.0826	-0.0946	-0.2468	-0.0310
